Date;Price
16/12/2020;49544
15/12/2020;49416
14/12/2020;48916
11/12/2020;49306
10/12/2020;49081
09/12/2020;49256
08/12/2020;50049
07/12/2020;49923
04/12/2020;49322
03/12/2020;49061
02/12/2020;48959
01/12/2020;48641
30/11/2020;47898
27/11/2020;48189
26/11/2020;48597
25/11/2020;48568
24/11/2020;48683
23/11/2020;49555
20/11/2020;50279
19/11/2020;50063
18/11/2020;50377
17/11/2020;50806
16/11/2020;50870
14/11/2020;50945
13/11/2020;50956
12/11/2020;50652
11/11/2020;50230
10/11/2020;50561
09/11/2020;49795
06/11/2020;52190
05/11/2020;51901
04/11/2020;50829
03/11/2020;51509
02/11/2020;51032
30/10/2020;50641
29/10/2020;50276
28/10/2020;50483
27/10/2020;50984
26/10/2020;50953
23/10/2020;50820
22/10/2020;50741
21/10/2020;51313
20/10/2020;50937
19/10/2020;50751
16/10/2020;50605
15/10/2020;50775
14/10/2020;50614
13/10/2020;50306
12/10/2020;51166
09/10/2020;50872
08/10/2020;50239
07/10/2020;50133
06/10/2020;50617
05/10/2020;50809
01/10/2020;50345
30/09/2020;50232
29/09/2020;50607
28/09/2020;49928
25/09/2020;49539
24/09/2020;49959
23/09/2020;49576
22/09/2020;50454
21/09/2020;50512
18/09/2020;51764
17/09/2020;51498
16/09/2020;51876
15/09/2020;51818
14/09/2020;51759
11/09/2020;51393
10/09/2020;51832
09/09/2020;51486
08/09/2020;51433
07/09/2020;51149
04/09/2020;50728
03/09/2020;50768
02/09/2020;50577
01/09/2020;51017
31/08/2020;51099
28/08/2020;51050
27/08/2020;50507
26/08/2020;51619
25/08/2020;50936
24/08/2020;51385
21/08/2020;52045
20/08/2020;52302
19/08/2020;52824
18/08/2020;53738
17/08/2020;53435
14/08/2020;52451
13/08/2020;53148
12/08/2020;52505
11/08/2020;52144
10/08/2020;55243
07/08/2020;55018
06/08/2020;56117
05/08/2020;55597
04/08/2020;54784
03/08/2020;53927
31/07/2020;53582
30/07/2020;52986
29/07/2020;53207
28/07/2020;52731
27/07/2020;52227
24/07/2020;51120
23/07/2020;50762
22/07/2020;50115
21/07/2020;49559
20/07/2020;49067
17/07/2020;49001
16/07/2020;48811
15/07/2020;49182
14/07/2020;49277
13/07/2020;49180
10/07/2020;48883
09/07/2020;48896
08/07/2020;49160
07/07/2020;48796
06/07/2020;48247
03/07/2020;48336
02/07/2020;48437
01/07/2020;48400
30/06/2020;48861
29/06/2020;48194
26/06/2020;48363
25/06/2020;47952
24/06/2020;48105
23/06/2020;48186
22/06/2020;47912
19/06/2020;47907
18/06/2020;47328
17/06/2020;47320
16/06/2020;47534
15/06/2020;46999
12/06/2020;47325
11/06/2020;47405
10/06/2020;46629
09/06/2020;46595
08/06/2020;46110
05/06/2020;46346
04/06/2020;46781
03/06/2020;46203
02/06/2020;46796
01/06/2020;47018
29/05/2020;46858
28/05/2020;46474
27/05/2020;46647
26/05/2020;46393
25/05/2020;46953
22/05/2020;47057
21/05/2020;46417
20/05/2020;47129
19/05/2020;47036
18/05/2020;46652
15/05/2020;47352
14/05/2020;46631
13/05/2020;45983
12/05/2020;45635
11/05/2020;45785
08/05/2020;45820
07/05/2020;46147
06/05/2020;45387
05/05/2020;45539
04/05/2020;45762
01/05/2020;45251
30/04/2020;44647
29/04/2020;45439
28/04/2020;46188
27/04/2020;46353
24/04/2020;46550
23/04/2020;46475
22/04/2020;46189
21/04/2020;45383
20/04/2020;45724
17/04/2020;45855
16/04/2020;47203
15/04/2020;46696
13/04/2020;46270
09/04/2020;45279
08/04/2020;44944
07/04/2020;45043
03/04/2020;44298
01/04/2020;43578
31/03/2020;43225
30/03/2020;43883
27/03/2020;43590
26/03/2020;43631
25/03/2020;42713
24/03/2020;41873
23/03/2020;41317
20/03/2020;40419
19/03/2020;39889
18/03/2020;39764
17/03/2020;40279
16/03/2020;39548
13/03/2020;40382
12/03/2020;42217
11/03/2020;43334
10/03/2020;43694
09/03/2020;44308
06/03/2020;44098
05/03/2020;43874
04/03/2020;43235
03/03/2020;43100
02/03/2020;42017
28/02/2020;41763
27/02/2020;42193
26/02/2020;42349
25/02/2020;42675
24/02/2020;43456
21/02/2020;42511
20/02/2020;41886
19/02/2020;41463
18/02/2020;41311
17/02/2020;40686
14/02/2020;40879
13/02/2020;40580
12/02/2020;40427
11/02/2020;40353
10/02/2020;40607
07/02/2020;40563
06/02/2020;40287
05/02/2020;40213
04/02/2020;40056
03/02/2020;40633
01/02/2020;41099
31/01/2020;41012
30/01/2020;40897
29/01/2020;40321
28/01/2020;40200
27/01/2020;40557
24/01/2020;40322
23/01/2020;40255
22/01/2020;39893
21/01/2020;39892
20/01/2020;39927
17/01/2020;39920
16/01/2020;39676
15/01/2020;39598
14/01/2020;39443
13/01/2020;39541
10/01/2020;39849
09/01/2020;39806
08/01/2020;40078
07/01/2020;40635
06/01/2020;40448
03/01/2020;39925
02/01/2020;39220
01/01/2020;38938
31/12/2019;38999
30/12/2019;38823
27/12/2019;38978
26/12/2019;38767
24/12/2019;38624
23/12/2019;38231
20/12/2019;38002
19/12/2019;38110
18/12/2019;37932
17/12/2019;37961
16/12/2019;37873
13/12/2019;37776
12/12/2019;37559
11/12/2019;37693
10/12/2019;37604
09/12/2019;37638
06/12/2019;37748
05/12/2019;38095
04/12/2019;38188
03/12/2019;38267
02/12/2019;37915
29/11/2019;37961
28/11/2019;37780
27/11/2019;37578
26/11/2019;37775
25/11/2019;37782
22/11/2019;37927
21/11/2019;37971
20/11/2019;38155
19/11/2019;38206
18/11/2019;38228
15/11/2019;38002
14/11/2019;38269
13/11/2019;38107
12/11/2019;37740
11/11/2019;37688
08/11/2019;37705
07/11/2019;37595
06/11/2019;38239
05/11/2019;38458
04/11/2019;38734
01/11/2019;38652
31/10/2019;38842
30/10/2019;38369
29/10/2019;38110
28/10/2019;38103
27/10/2019;38280
25/10/2019;38362
24/10/2019;38452
23/10/2019;38124
22/10/2019;38025
21/10/2019;37969
18/10/2019;38121
17/10/2019;38216
16/10/2019;38248
15/10/2019;38067
14/10/2019;38250
11/10/2019;37839
10/10/2019;38120
09/10/2019;38384
08/10/2019;38242
07/10/2019;37978
04/10/2019;38002
03/10/2019;38012
01/10/2019;37377
30/09/2019;36873
27/09/2019;37706
26/09/2019;37773
25/09/2019;37571
24/09/2019;38091
23/09/2019;37905
20/09/2019;37669
19/09/2019;37672
18/09/2019;37837
17/09/2019;37995
